"dec","n","N","churn_perc","GreaterThan","LessThan"
1,2060,6612,0.31,0,54.5
2,1732,6612,0.26,54.5,122.75
3,1620,6612,0.25,122.75,197.25
4,1585,6612,0.24,197.25,277
5,1533,6612,0.23,277,368
6,1510,6612,0.23,368,479.75
7,1514,6611,0.23,479.75,627.25
8,1444,6611,0.22,627.25,841.75
9,1447,6611,0.22,841.75,1207.5
10,1345,6611,0.2,1207.75,12206.75
NA,69,181,0.38,Inf,-Inf
1,1831,6612,0.28,-26.915,19.99
2,2292,6612,0.35,19.99,29.99
3,1492,6612,0.23,29.99,33.2
4,1935,6612,0.29,33.21333333,39.99
5,2048,6612,0.31,39.99,44.99
6,368,6612,0.06,44.99,49.425
7,1585,6611,0.24,49.425,54.98
8,1722,6611,0.26,54.98,59.99
9,1306,6611,0.2,59.99,75
10,1211,6611,0.18,75,409.99
NA,69,181,0.38,Inf,-Inf
1,1665,6612,0.25,0,0
2,1435,6612,0.22,0,1.05
3,1522,6612,0.23,1.06,3.45
4,1487,6612,0.22,3.45,7.97
5,1481,6612,0.22,7.97,15.68
6,1524,6612,0.23,15.68,28.76
7,1609,6611,0.24,28.77,44.76
8,1726,6611,0.26,44.77,71.75
9,1698,6611,0.26,71.75,123.13
10,1643,6611,0.25,123.16,13740.54
NA,69,181,0.38,Inf,-Inf
1,1891,6612,0.29,0,50
2,1520,6612,0.23,50,93
3,1520,6612,0.23,93,136
4,1488,6612,0.23,136,185
5,1482,6612,0.22,185,243
6,1480,6612,0.22,243,315
7,1578,6611,0.24,315,413
8,1547,6611,0.23,413,564
9,1585,6611,0.24,564,850
10,1699,6611,0.26,850,43050
NA,69,181,0.38,Inf,-Inf
1,1858,6589,0.28,-3875,-226.75
2,1695,6589,0.26,-226.75,-111.5
3,1583,6589,0.24,-111.25,-58.25
4,1519,6588,0.23,-58.25,-25.75
5,1611,6588,0.24,-25.5,-4.333333333
6,1704,6588,0.26,-4.333333333,12
7,1453,6588,0.22,12,43.5
8,1409,6588,0.21,43.5,97.5
9,1338,6588,0.2,97.5,208.75
10,1488,6588,0.23,208.75,31219.25
NA,201,414,0.49,Inf,-Inf
1,2088,6630,0.31,0,0
2,1697,6630,0.26,0,1.333333333
3,1429,6630,0.22,1.333333333,2.333333333
4,1471,6630,0.22,2.333333333,3.666666667
5,1465,6630,0.22,3.666666667,5.333333333
6,1661,6630,0.25,5.333333333,7.666666667
7,1547,6630,0.23,7.666666667,10.66666667
8,1467,6629,0.22,10.66666667,15.33333333
9,1501,6629,0.23,15.33333333,24.33333333
10,1533,6629,0.23,24.33333333,489.6666667
1,2665,6630,0.4,0,0
2,841,6630,0.13,0,0.666666667
3,1690,6630,0.25,0.666666667,1.333333333
4,1567,6630,0.24,1.333333333,2
5,1434,6630,0.22,2,3
6,1448,6630,0.22,3,4.333333333
7,1615,6630,0.24,4.333333333,6.333333333
8,1615,6629,0.24,6.333333333,9.333333333
9,1443,6629,0.22,9.333333333,15
10,1541,6629,0.23,15,221.6666667
1,2457,6630,0.37,0,0
2,1424,6630,0.21,0,2
3,1411,6630,0.21,2,4
4,1861,6630,0.28,4,6
5,1075,6630,0.16,6,8
6,1694,6630,0.26,8,12
7,1362,6630,0.21,12,17
8,1579,6629,0.24,17,24
9,1438,6629,0.22,24,38
10,1558,6629,0.24,38,699
1,1962,6630,0.3,0,1.01
